City,Date,Condition,Temperature,Category
Melbourne,2025-04-07 17:17:02,Partly cloudy,17.0,Warm
Auckland,2025-04-07 17:17:02,Partly cloudy,19.0,Warm
Tokyo,2025-04-07 17:17:03,Partly cloudy,16.0,Warm
London,2025-04-07 17:18:04,Sunny,12.0,Warm
New York,2025-04-07 17:18:05,Overcast,5.0,Warm
Kolkata,2025-04-07 17:18:06,Haze,33.0,Hot
Melbourne,2025-04-07 17:18:09,Partly cloudy,17.0,Warm
Auckland,2025-04-07 17:18:10,Partly cloudy,19.0,Warm
Tokyo,2025-04-07 17:18:11,Partly cloudy,16.0,Warm
London,2025-04-07 22:31:25,Sunny,15.0,Warm
New York,2025-04-07 22:31:26,Light rain,6.0,Warm
Kolkata,2025-04-07 22:31:27,Haze,30.0,Hot
Melbourne,2025-04-07 22:31:28,Overcast,14.0,Warm
Auckland,2025-04-07 22:31:29,Light rain,16.0,Warm
Tokyo,2025-04-07 22:31:30,Clear,15.0,Warm
London,2025-04-07 22:32:31,Sunny,15.0,Warm
New York,2025-04-07 22:32:32,Light rain,6.0,Warm
Kolkata,2025-04-07 22:32:33,Haze,30.0,Hot
Melbourne,2025-04-07 22:32:34,Overcast,14.0,Warm
Auckland,2025-04-07 22:32:36,Light rain,16.0,Warm
Tokyo,2025-04-07 22:32:39,Clear,15.0,Warm
Kolkata,2025-04-08 22:55:59,Haze,28.0,Warm
Kolkata,2025-04-08 22:57:17,Haze,28.0,Warm
Hyderabad,2025-04-08 23:07:11,Clear,33.0,Hot
Kolkata,2025-04-08 23:07:12,Haze,28.0,Warm
Chennai,2025-04-08 23:07:18,Partly cloudy,30.0,Hot
Hyderabad,2025-04-08 23:13:54,Clear,33.0,Hot
Kolkata,2025-04-08 23:13:56,Haze,28.0,Warm
Chennai,2025-04-08 23:14:02,Partly cloudy,30.0,Hot
Hyderabad,2025-04-08 23:17:51,Clear,33.0,Hot
Kolkata,2025-04-08 23:17:53,Haze,28.0,Warm
Chennai,2025-04-08 23:17:55,Partly cloudy,30.0,Hot
Hyderabad,2025-04-08 23:23:51,Clear,33.0,Hot
Kolkata,2025-04-08 23:23:52,Haze,28.0,Warm
Chennai,2025-04-08 23:23:53,Partly cloudy,30.0,Hot
Hyderabad,2025-04-08 23:28:46,Clear,33.0,Hot
Kolkata,2025-04-08 23:28:47,Haze,28.0,Warm
Chennai,2025-04-08 23:28:48,Partly cloudy,30.0,Hot
